Temporada,Insumo,q,Demanda_Total,CTE
2,Manteca,35.337155921052634,453.24,6442057.892671297
2,Manteca,46.154652631578955,453.24,6381982.2969072135
2,Manteca,56.97214934210527,453.24,6356153.76482357
2,Manteca,67.78964605263158,453.24,6348177.425509517
2,Manteca,78.60714276315791,453.24,6350683.10763816
2,Manteca,89.42463947368422,453.24,6359866.851814971
2,Manteca,100.24213618421054,453.24,6373566.6955063725
2,Manteca,111.05963289473685,453.24,6390462.999243814
2,Manteca,121.87712960526316,453.24,6409704.634612668
2,Manteca,132.6946263157895,453.24,6430718.015072647
2,Manteca,143.5121230263158,453.24,6453102.494748871
2,Manteca,154.32961973684212,453.24,6476569.7583855875
2,Manteca,165.14711644736843,453.24,6500907.031842089
2,Manteca,175.96461315789475,453.24,6525953.8624876775
2,Manteca,186.78210986842106,453.24,6551586.9681852525
2,Manteca,197.59960657894737,453.24,6577710.062886131
2,Manteca,208.4171032894737,453.24,6604246.850724746
2,Manteca,219.2346,453.24,6631136.094230051
3,Harina de Trigo,117.3321,4321.8279999999995,8142356.940398976
3,Harina de Trigo,209.9627052631579,4321.8279999999995,7686577.691027787
3,Harina de Trigo,302.5933105263158,4321.8279999999995,7529274.435234232
3,Harina de Trigo,395.2239157894736,4321.8279999999995,7460581.240034038
3,Harina de Trigo,487.8545210526315,4321.8279999999995,7430024.020279087
3,Harina de Trigo,580.4851263157894,4321.8279999999995,7419346.1919796355
3,Harina de Trigo,673.1157315789472,4321.8279999999995,7420340.666920111
3,Harina de Trigo,765.7463368421052,4321.8279999999995,7428771.528602151
3,Harina de Trigo,858.3769421052631,4321.8279999999995,7442231.313692158
3,Harina de Trigo,951.007547368421,4321.8279999999995,7459250.531583906
3,Harina de Trigo,1043.638152631579,4321.8279999999995,7478881.404312435
3,Harina de Trigo,1136.2687578947368,4321.8279999999995,7500485.211944836
3,Harina de Trigo,1228.8993631578946,4321.8279999999995,7523615.813422446
3,Harina de Trigo,1321.5299684210527,4321.8279999999995,7547952.153964729
3,Harina de Trigo,1414.1605736842105,4321.8279999999995,7573257.297947623
3,Harina de Trigo,1506.7911789473685,4321.8279999999995,7599352.572605441
3,Harina de Trigo,1599.4217842105263,4321.8279999999995,7626100.696546788
3,Harina de Trigo,1692.0523894736841,4321.8279999999995,7653394.449998822
3,Harina de Trigo,1784.6829947368421,4321.8279999999995,7681148.873349151
3,Harina de Trigo,1877.3136,4321.8279999999995,7709295.775329935
3,Azúcar,15.7689825,87.82900000000001,315760.6503976945
3,Azúcar,28.218179210526316,87.82900000000001,246308.2114496931
3,Azúcar,40.66737592105263,87.82900000000001,221988.65154648307
3,Azúcar,53.11657263157895,87.82900000000001,211067.91510969552
3,Azúcar,65.56576934210526,87.82900000000001,205913.76092427966
3,Azúcar,78.01496605263158,87.82900000000001,203765.59110394053
3,Azúcar,90.4641627631579,87.82900000000001,203382.40292915102
3,Azúcar,102.91335947368421,87.82900000000001,204123.67886725205
3,Azúcar,115.36255618421052,87.82900000000001,205625.38377378258
3,Azúcar,127.81175289473683,87.82900000000001,207665.31437874702
3,Azúcar,140.26094960526316,87.82900000000001,210100.15614705943
3,Azúcar,152.71014631578947,87.82900000000001,212833.32754420533
3,Azúcar,165.15934302631578,87.82900000000001,215797.36709632791
3,Azúcar,177.6085397368421,87.82900000000001,218943.72776149283
3,Azúcar,190.05773644736843,87.82900000000001,222236.58224674416
3,Azúcar,202.50693315789474,87.82900000000001,225648.91324919712
3,Azúcar,214.95612986842104,87.82900000000001,229159.96230061204
3,Azúcar,227.40532657894735,87.82900000000001,232753.51658272874
3,Azúcar,239.85452328947366,87.82900000000001,236416.72926031685
3,Azúcar,252.30372,87.82900000000001,240139.28905773093
3,Sal,17.8543075,99.491,334528.5550558199
3,Sal,31.94981342105263,99.491,265605.01297062694
3,Sal,46.045319342105266,99.491,241835.81696309237
3,Sal,60.14082526315789,99.491,231471.81744736264
3,Sal,74.23633118421053,99.491,226877.14300405528
3,Sal,88.33183710526316,99.491,225289.88269424468
3,Sal,102.4273430263158,99.491,225468.44352703766
3,Sal,116.52284894736843,99.491,226772.00331358614
3,Sal,130.61835486842105,99.491,228836.35375950887
3,Sal,144.7138607894737,99.491,231439.18590589782
3,Sal,158.80936671052632,99.491,234437.11705144536
3,Sal,172.90487263157897,99.491,237733.51972353118
3,Sal,187.0003785526316,99.491,241260.9003608778
3,Sal,201.09588447368424,99.491,244970.6888306033
3,Sal,215.19139039473686,99.491,248827.04079883406
3,Sal,229.2868963157895,99.491,252802.92611215723
3,Sal,243.38240223684213,99.491,256877.57642876141
3,Sal,257.4779081578947,99.491,261034.77121891067
3,Sal,271.5734140789474,99.491,265261.6575368973
3,Sal,285.66892,99.491,269547.91920261376
3,Manteca,13.7021625,313.25,4863027.076302306
3,Manteca,24.519659210526317,313.25,4590558.658683748
3,Manteca,35.337155921052634,313.25,4503341.316297618
3,Manteca,46.154652631578955,313.25,4471120.386871115
3,Manteca,56.97214934210527,313.25,4462568.799731035
3,Manteca,67.78964605263158,313.25,4466355.486761535
3,Manteca,78.60714276315791,313.25,4477386.665048157
3,Manteca,89.42463947368422,313.25,4493033.285344727
3,Manteca,100.24213618421054,313.25,4511801.139806298
3,Manteca,111.05963289473685,313.25,4532778.179488552
3,Manteca,121.87712960526316,313.25,4555376.159806099
3,Manteca,132.6946263157895,313.25,4579198.655060091
3,Manteca,143.5121230263158,313.25,4603968.764888015
3,Manteca,154.32961973684212,313.25,4629487.2245430155
3,Manteca,165.14711644736843,313.25,4655606.978382219
3,Manteca,175.96461315789475,313.25,4682217.131986406
3,Manteca,186.78210986842106,313.25,4709232.480763205
3,Manteca,197.59960657894737,313.25,4736586.478060181
3,Manteca,208.4171032894737,313.25,4764226.393138897
3,Manteca,219.2346,313.25,4792109.902643504
4,Harina de Trigo,117.3321,3134.615,5939264.171244756
4,Harina de Trigo,209.9627052631579,3134.615,5617404.908265135
4,Harina de Trigo,302.5933105263158,3134.615,5512029.810460147
4,Harina de Trigo,395.2239157894736,3134.615,5470923.449191379
4,Harina de Trigo,487.8545210526315,3134.615,5457477.050482503
4,Harina de Trigo,580.4851263157894,3134.615,5458449.142895273
4,Harina de Trigo,673.1157315789472,3134.615,5467887.138351945
4,Harina de Trigo,765.7463368421052,3134.615,5482718.733328522
4,Harina de Trigo,858.3769421052631,3134.615,5501197.798484028
4,Harina de Trigo,951.007547368421,3134.615,5522258.514610334
4,Harina de Trigo,1043.638152631579,3134.615,5545213.459851311
4,Harina de Trigo,1136.2687578947368,3134.615,5569599.371651739
4,Harina de Trigo,1228.8993631578946,3134.615,5595092.664608727
4,Harina de Trigo,1321.5299684210527,3134.615,5621460.4781987015
4,Harina de Trigo,1414.1605736842105,3134.615,5648530.963388977
4,Harina de Trigo,1506.7911789473685,3134.615,5676174.5291057285
4,Harina de Trigo,1599.4217842105263,3134.615,5704291.605373314
4,Harina de Trigo,1692.0523894736841,3134.615,5732804.425860392
4,Harina de Trigo,1784.6829947368421,3134.615,5761651.369494722
4,Harina de Trigo,1877.3136,3134.615,5790782.9772577975
4,Azúcar,15.7689825,58.178999999999995,211912.445239245
4,Azúcar,28.218179210526316,58.178999999999995,167345.97915526538
4,Azúcar,40.66737592105263,58.178999999999995,152676.08219932913
4,Azúcar,53.11657263157895,58.178999999999995,146881.7292032808
4,Azúcar,65.56576934210526,58.178999999999995,144907.23056971582
4,Azúcar,78.01496605263158,58.178999999999995,144923.93261446667
4,Azúcar,90.4641627631579,58.178999999999995,146109.7800116231
4,Azúcar,102.91335947368421,58.178999999999995,148040.48614136054
4,Azúcar,115.36255618421052,58.178999999999995,150474.9096873758
4,Azúcar,127.81175289473683,58.178999999999995,153265.86049556165
4,Azúcar,140.26094960526316,58.178999999999995,156318.4052712574
4,Azúcar,152.71014631578947,58.178999999999995,159568.56722893062
4,Azúcar,165.15934302631578,58.178999999999995,162971.65906612415
4,Azúcar,177.6085397368421,58.178999999999995,166495.52263060244
4,Azúcar,190.05773644736843,58.178999999999995,170116.42548687276
4,Azúcar,202.50693315789474,58.178999999999995,173816.47104423586
4,Azúcar,214.95612986842104,58.178999999999995,177581.90864033965
4,Azúcar,227.40532657894735,58.178999999999995,181401.99870677784
4,Azúcar,239.85452328947366,58.178999999999995,185268.23134332531
4,Azúcar,252.30372,58.178999999999995,189173.7762353278
4,Sal,17.8543075,72.138,244803.41747341858
4,Sal,31.94981342105263,72.138,196156.49490987323
4,Sal,46.045319342105266,72.138,180249.66157399796
4,Sal,60.14082526315789,72.138,174062.54222758726
4,Sal,74.23633118421053,72.138,172058.59092727522
4,Sal,88.33183710526316,72.138,172235.22722546142
4,Sal,102.4273430263158,72.138,173692.20853560988
4,Sal,116.52284894736843,72.138,175964.89352273435
4,Sal,130.61835486842105,72.138,178789.2054568785
4,Sal,144.7138607894737,72.138,182003.95464573143
4,Sal,158.80936671052632,72.138,185505.17850667832
4,Sal,172.90487263157897,72.138,189222.81529926148
4,Sal,187.0003785526316,72.138,193107.92742587466
4,Sal,201.09588447368424,72.138,197125.29811067047
4,Sal,215.19139039473686,72.138,201248.93768064355
4,Sal,229.2868963157895,72.138,205459.24736598664
4,Sal,243.38240223684213,72.138,209741.16865244627
4,Sal,257.4779081578947,72.138,214082.94051064196
4,Sal,271.5734140789474,72.138,218475.24364739686
4,Sal,285.66892,72.138,222910.59810371365
4,Manteca,13.7021625,242.572,3789468.159213489
4,Manteca,24.519659210526317,242.572,3585269.557957644
4,Manteca,35.337155921052634,242.572,3524524.185181546
4,Manteca,46.154652631578955,242.572,3506366.489610373
4,Manteca,56.97214934210527,242.572,3506537.6677729646
4,Manteca,67.78964605263158,242.572,3516263.2588393274
4,Manteca,78.60714276315791,242.572,3531598.780417996
4,Manteca,89.42463947368422,242.572,3550508.370629505
4,Manteca,100.24213618421054,242.572,3571834.956894877
4,Manteca,111.05963289473685,242.572,3594872.274133438
4,Manteca,121.87712960526316,242.572,3619164.802263569
4,Manteca,132.6946263157895,242.572,3644405.5603607018
4,Manteca,143.5121230263158,242.572,3670380.1245629517
4,Manteca,154.32961973684212,242.572,3696934.1898482144
4,Manteca,165.14711644736843,242.572,3723953.880457819
4,Manteca,175.96461315789475,242.572,3751353.3228688342
4,Manteca,186.78210986842106,242.572,3779066.5370385433
4,Manteca,197.59960657894737,242.572,3807041.9911087668
4,Manteca,208.4171032894737,242.572,3835238.8518770025
4,Manteca,219.2346,242.572,3863624.3453254527
